wl,n,wl,k,,,
0.84955371,1.50092,,,,,
0.85112628,1.5009,,,,,
0.85269873,1.50087,,,,,
0.85427112,1.50085,,,,,
0.85584338,1.50082,,,,,
0.8574154,1.50079,,,,,
0.85898743,1.50077,,,,,
0.8605592,1.50074,,,,,
0.86213098,1.50072,,,,,
0.86370251,1.50069,,,,,
0.86527393,1.50067,,,,,
0.86684534,1.50064,,,,,
0.8684165,1.50062,,,,,
0.86998761,1.50059,,,,,
0.87155847,1.50056,,,,,
0.87312927,1.50054,,,,,
0.87470001,1.50052,,,,,
0.87627051,1.50049,,,,,
0.87784094,1.50047,,,,,
0.87941125,1.50044,,,,,
0.88098132,1.50042,,,,,
0.88255139,1.50039,,,,,
0.88412128,1.50037,,,,,
0.88569104,1.50034,,,,,
0.88726062,1.50032,,,,,
0.8888302,1.50029,,,,,
0.89039954,1.50027,,,,,
0.89196863,1.50025,,,,,
0.89353778,1.50022,,,,,
0.89510675,1.5002,,,,,
0.89667548,1.50017,,,,,
0.89824426,1.50015,,,,,
0.89981268,1.50013,,,,,
0.90138117,1.5001,,,,,
0.9029494,1.50008,,,,,
0.90451746,1.50006,,,,,
0.90608545,1.50003,,,,,
0.90765332,1.50001,,,,,
0.90922101,1.49999,,,,,
0.91078857,1.49996,,,,,
0.91235596,1.49994,,,,,
0.91392322,1.49992,,,,,
0.91549042,1.49989,,,,,
0.91705743,1.49987,,,,,
0.91862421,1.49985,,,,,
0.92019092,1.49983,,,,,
0.92175751,1.4998,,,,,
0.92332391,1.49978,,,,,
0.92489026,1.49976,,,,,
0.92645636,1.49973,,,,,
0.92802234,1.49971,,,,,
0.9295882,1.49969,,,,,
0.93115393,1.49967,,,,,
0.93271942,1.49964,,,,,
0.93428485,1.49962,,,,,
0.9358501,1.4996,,,,,
0.93741522,1.49958,,,,,
0.93898016,1.49956,,,,,
0.94054492,1.49953,,,,,
0.94210968,1.49951,,,,,
0.94367413,1.49949,,,,,
0.94523846,1.49947,,,,,
0.94680273,1.49945,,,,,
0.94836682,1.49942,,,,,
0.94993066,1.4994,,,,,
0.95149445,1.49938,,,,,
0.9530581,1.49936,,,,,
0.95462146,1.49934,,,,,
0.95618488,1.49932,,,,,
0.95774793,1.49929,,,,,
0.95931103,1.49927,,,,,
0.96087384,1.49925,,,,,
0.96243652,1.49923,,,,,
0.96399902,1.49921,,,,,
0.9655614,1.49919,,,,,
0.96712366,1.49917,,,,,
0.96868573,1.49914,,,,,
0.97024768,1.49912,,,,,
0.97180939,1.4991,,,,,
0.97337097,1.49908,,,,,
0.97493243,1.49906,,,,,
0.97649377,1.49904,,,,,
0.97805487,1.49902,,,,,
0.97961585,1.499,,,,,
0.98117664,1.49898,,,,,
0.9827373,1.49896,,,,,
0.98429773,1.49894,,,,,
0.98585809,1.49892,,,,,
0.98741827,1.4989,,,,,
0.98897833,1.49887,,,,,
0.99053809,1.49885,,,,,
0.99209778,1.49883,,,,,
0.99365735,1.49881,,,,,
0.99521668,1.49879,,,,,
0.99677588,1.49877,,,,,
0.99833484,1.49875,,,,,
0.99989374,1.49873,,,,,
1.01007697,1.4986,,,,,
1.01348059,1.49856,,,,,
1.01688458,1.49851,,,,,
1.02028894,1.49847,,,,,
1.02369373,1.49843,,,,,
1.02709888,1.49838,,,,,
1.03050464,1.49834,,,,,
1.03391052,1.49829,,,,,
1.03731702,1.49825,,,,,
1.04072376,1.49821,,,,,
1.04413098,1.49817,,,,,
1.04753857,1.49812,,,,,
1.05094653,1.49808,,,,,
1.05435498,1.49804,,,,,
1.05776379,1.498,,,,,
1.06117297,1.49796,,,,,
1.06458252,1.49791,,,,,
1.06799243,1.49787,,,,,
1.07140295,1.49783,,,,,
1.07481372,1.49779,,,,,
1.07822485,1.49775,,,,,
1.08163648,1.49771,,,,,
1.08504846,1.49766,,,,,
1.08846081,1.49762,,,,,
1.09187366,1.49758,,,,,
1.09528687,1.49754,,,,,
1.09870044,1.4975,,,,,
1.10211438,1.49746,,,,,
1.10552869,1.49742,,,,,
1.10894348,1.49737,,,,,
1.11235864,1.49733,,,,,
1.11577417,1.49729,,,,,
1.11919019,1.49725,,,,,
1.12260657,1.49721,,,,,
1.12602319,1.49717,,,,,
1.12944043,1.49713,,,,,
1.13285803,1.49709,,,,,
1.13627588,1.49705,,,,,
1.13969421,1.49701,,,,,
1.14311304,1.49697,,,,,
1.1465321,1.49693,,,,,
1.14995166,1.49689,,,,,
1.15337158,1.49685,,,,,
1.15679187,1.4968,,,,,
1.16021265,1.49676,,,,,
1.16363367,1.49672,,,,,
1.16705518,1.49668,,,,,
1.17047717,1.49664,,,,,
1.17389941,1.4966,,,,,
1.17732202,1.49656,,,,,
1.18074524,1.49652,,,,,
1.1841687,1.49648,,,,,
1.18759253,1.49644,,,,,
1.19101685,1.4964,,,,,
1.19444153,1.49636,,,,,
1.19786646,1.49632,,,,,
1.20129199,1.49628,,,,,
1.2047179,1.49624,,,,,
1.20814404,1.4962,,,,,
1.21157068,1.49616,,,,,
1.2149978,1.49612,,,,,
1.21842517,1.49608,,,,,
1.22185303,1.49604,,,,,
1.22528113,1.496,,,,,
1.22870972,1.49595,,,,,
1.23213879,1.49591,,,,,
1.23556812,1.49587,,,,,
1.23899792,1.49583,,,,,
1.2424281,1.49579,,,,,
1.24585864,1.49575,,,,,
1.24928967,1.49571,,,,,
1.25272095,1.49567,,,,,
1.25615271,1.49563,,,,,
1.25958484,1.49559,,,,,
1.26301746,1.49555,,,,,
1.26645044,1.49551,,,,,
1.26988367,1.49546,,,,,
1.27331738,1.49542,,,,,
1.27675147,1.49538,,,,,
1.28018591,1.49534,,,,,
1.28362085,1.4953,,,,,
1.28705615,1.49526,,,,,
1.29049182,1.49522,,,,,
1.29392786,1.49517,,,,,
1.29736426,1.49513,,,,,
1.30080115,1.49509,,,,,
1.3042384,1.49505,,,,,
1.30767603,1.49501,,,,,
1.31111401,1.49497,,,,,
1.31455237,1.49492,,,,,
1.31799121,1.49488,,,,,
1.32143042,1.49484,,,,,
1.32486987,1.4948,,,,,
1.32830981,1.49475,,,,,
1.33175024,1.49471,,,,,
1.33519104,1.49467,,,,,
1.33863208,1.49463,,,,,
1.34207361,1.49458,,,,,
1.3455155,1.49454,,,,,
1.34895776,1.4945,,,,,
1.35240051,1.49445,,,,,
1.35584363,1.49441,,,,,
1.35928711,1.49437,,,,,
1.36273096,1.49432,,,,,
1.36617517,1.49428,,,,,
1.36961987,1.49424,,,,,
1.37306482,1.49419,,,,,
1.37651025,1.49415,,,,,
1.37995606,1.49411,,,,,
1.38340222,1.49406,,,,,
1.38684888,1.49402,,,,,
1.39029578,1.49397,,,,,
1.39374316,1.49393,,,,,
1.3971908,1.49388,,,,,
1.40063892,1.49384,,,,,
1.40408752,1.49379,,,,,
1.40753638,1.49375,,,,,
1.4109856,1.4937,,,,,
1.4144353,1.49366,,,,,
1.4178855,1.49361,,,,,
