wl,n,wl,k,
4.410E+00,2.03E+00,4.410E+00,3.12E+01,
4.440E+00,2.06E+00,4.440E+00,3.14E+01,
4.470E+00,2.09E+00,4.470E+00,3.16E+01,
4.500E+00,2.12E+00,4.500E+00,3.18E+01,
4.530E+00,2.15E+00,4.530E+00,3.20E+01,
4.560E+00,2.18E+00,4.560E+00,3.23E+01,
4.600E+00,2.21E+00,4.600E+00,3.25E+01,
4.630E+00,2.24E+00,4.630E+00,3.27E+01,
4.660E+00,2.27E+00,4.660E+00,3.30E+01,
4.700E+00,2.30E+00,4.700E+00,3.32E+01,
4.730E+00,2.33E+00,4.730E+00,3.34E+01,
4.770E+00,2.37E+00,4.770E+00,3.37E+01,
4.800E+00,2.40E+00,4.800E+00,3.39E+01,
4.840E+00,2.44E+00,4.840E+00,3.42E+01,
4.870E+00,2.47E+00,4.870E+00,3.44E+01,
4.910E+00,2.51E+00,4.910E+00,3.47E+01,
4.950E+00,2.55E+00,4.950E+00,3.49E+01,
4.990E+00,2.59E+00,4.990E+00,3.52E+01,
5.020E+00,2.63E+00,5.020E+00,3.55E+01,
5.060E+00,2.67E+00,5.060E+00,3.57E+01,
5.100E+00,2.71E+00,5.100E+00,3.60E+01,
5.140E+00,2.75E+00,5.140E+00,3.63E+01,
5.180E+00,2.80E+00,5.180E+00,3.66E+01,
5.230E+00,2.84E+00,5.230E+00,3.69E+01,
5.270E+00,2.89E+00,5.270E+00,3.72E+01,
5.310E+00,2.93E+00,5.310E+00,3.75E+01,
5.360E+00,2.98E+00,5.360E+00,3.78E+01,
5.400E+00,3.03E+00,5.400E+00,3.81E+01,
5.450E+00,3.08E+00,5.450E+00,3.84E+01,
5.490E+00,3.13E+00,5.490E+00,3.87E+01,
5.540E+00,3.19E+00,5.540E+00,3.91E+01,
5.590E+00,3.24E+00,5.590E+00,3.94E+01,
5.640E+00,3.29E+00,5.640E+00,3.97E+01,
5.680E+00,3.35E+00,5.680E+00,4.01E+01,
5.740E+00,3.41E+00,5.740E+00,4.04E+01,
5.790E+00,3.47E+00,5.790E+00,4.08E+01,
5.840E+00,3.53E+00,5.840E+00,4.11E+01,
5.890E+00,3.60E+00,5.890E+00,4.15E+01,
5.950E+00,3.66E+00,5.950E+00,4.19E+01,
6.000E+00,3.73E+00,6.000E+00,4.22E+01,
6.060E+00,3.80E+00,6.060E+00,4.26E+01,
6.110E+00,3.87E+00,6.110E+00,4.30E+01,
6.170E+00,3.94E+00,6.170E+00,4.34E+01,
6.230E+00,4.01E+00,6.230E+00,4.38E+01,
6.290E+00,4.09E+00,6.290E+00,4.42E+01,
