wl,n,wl,k
10.6,1.000272691,10.6,0
10.65,1.000272691,10.65,0
10.7,1.000272691,10.7,0
10.75,1.000272691,10.75,0
10.8,1.000272691,10.8,0
10.85,1.000272691,10.85,0
10.9,1.000272691,10.9,0
10.95,1.000272691,10.95,0
11,1.000272691,11,0
11.05,1.000272691,11.05,0
11.1,1.000272691,11.1,0
11.15,1.000272691,11.15,0
11.2,1.000272691,11.2,0
11.25,1.000272691,11.25,0
11.3,1.000272691,11.3,0
11.35,1.000272691,11.35,0
11.4,1.000272691,11.4,0
11.45,1.000272691,11.45,0
11.5,1.000272691,11.5,0
11.55,1.000272691,11.55,0
11.6,1.000272691,11.6,0
11.65,1.000272691,11.65,0
11.7,1.000272691,11.7,0
11.75,1.000272691,11.75,0
11.8,1.00027269,11.8,0
11.85,1.00027269,11.85,0
11.9,1.00027269,11.9,0
11.95,1.00027269,11.95,0
12,1.00027269,12,0
12.05,1.000272689,12.05,0
12.1,1.000272689,12.1,0
12.15,1.000272689,12.15,0
12.2,1.000272688,12.2,0
12.25,1.000272688,12.25,0
12.3,1.000272687,12.3,0
12.35,1.000272687,12.35,0
12.4,1.000272686,12.4,0
12.45,1.000272686,12.45,0
12.5,1.000272685,12.5,0
12.55,1.000272685,12.55,0
12.6,1.000272684,12.6,0
12.65,1.000272683,12.65,0
12.7,1.000272682,12.7,0
12.75,1.000272682,12.75,0
12.8,1.000272681,12.8,0
12.85,1.00027268,12.85,0
12.9,1.000272679,12.9,0
12.95,1.000272678,12.95,0
13,1.000272677,13,0
13.05,1.000272676,13.05,0
13.1,1.000272675,13.1,0
13.15,1.000272674,13.15,0
13.2,1.000272672,13.2,0
13.25,1.000272671,13.25,0
13.3,1.00027267,13.3,0
13.35,1.000272668,13.35,0
13.4,1.000272667,13.4,0
13.45,1.000272665,13.45,0
13.5,1.000272664,13.5,0
13.55,1.000272662,13.55,0
13.6,1.00027266,13.6,0
13.65,1.000272659,13.65,0
13.7,1.000272657,13.7,0
13.75,1.000272655,13.75,0
13.8,1.000272653,13.8,0
13.85,1.000272651,13.85,0
13.9,1.000272649,13.9,0
13.95,1.000272647,13.95,0
14,1.000272645,14,0
14.05,1.000272642,14.05,0
14.1,1.00027264,14.1,0
