wl,n,wl,k
4.424,1.5336,4.424,3.33E-03
4.4391,1.53363,4.4391,3.64E-03
4.4544,1.53386,4.4544,3.99E-03
4.4697,1.53417,4.4697,4.37E-03
4.4852,1.53458,4.4852,4.50E-03
4.5008,1.53469,4.5008,4.34E-03
4.5165,1.53451,4.5165,4.10E-03
4.5323,1.53419,4.5323,4.02E-03
4.5482,1.53375,4.5482,3.91E-03
4.5642,1.53359,4.5642,3.46E-03
4.5803,1.53346,4.5803,2.88E-03
4.5965,1.53301,4.5965,2.43E-03
4.6129,1.53252,4.6129,2.26E-03
4.6294,1.53219,4.6294,2.29E-03
4.646,1.5319,4.646,2.25E-03
4.6627,1.53148,4.6627,2.06E-03
4.6795,1.53073,4.6795,2.06E-03
4.6965,1.52987,4.6965,2.25E-03
4.7136,1.52941,4.7136,2.33E-03
4.7308,1.52921,4.7308,2.35E-03
4.7481,1.52899,4.7481,2.27E-03
4.7655,1.52858,4.7655,2.39E-03
4.7831,1.52785,4.7831,3.00E-03
4.8008,1.52748,4.8008,3.46E-03
4.8187,1.52744,4.8187,3.35E-03
4.8367,1.52684,4.8367,3.15E-03
4.8548,1.5259,4.8548,3.27E-03
4.873,1.52542,4.873,3.37E-03
4.8914,1.52535,4.8914,3.20E-03
4.91,1.52508,4.91,3.21E-03
4.9286,1.52436,4.9286,3.30E-03
4.9474,1.52336,4.9474,3.39E-03
4.9664,1.52228,4.9664,3.47E-03
4.9855,1.52153,4.9855,3.45E-03
5.0047,1.52128,5.0047,3.61E-03
5.0241,1.52094,5.0241,3.74E-03
5.0437,1.52023,5.0437,3.51E-03
5.0634,1.51923,5.0634,3.34E-03
5.0832,1.51804,5.0832,3.20E-03
5.1033,1.51688,5.1033,3.12E-03
5.1234,1.51571,5.1234,3.27E-03
5.1438,1.51449,5.1438,3.25E-03
5.1643,1.51331,5.1643,3.19E-03
5.1849,1.51211,5.1849,3.34E-03
5.2057,1.51023,5.2057,3.83E-03
5.2267,1.50791,5.2267,4.56E-03
5.2479,1.50676,5.2479,5.51E-03
5.2692,1.50661,5.2692,6.14E-03
5.2907,1.50604,5.2907,5.76E-03
5.3124,1.50428,5.3124,4.98E-03
5.3343,1.50175,5.3343,4.69E-03
5.3563,1.49864,5.3563,4.72E-03
5.3785,1.49523,5.3785,4.92E-03
5.4009,1.49143,5.4009,5.26E-03
5.4235,1.48695,5.4235,5.83E-03
5.4463,1.48143,5.4463,6.61E-03
5.4693,1.47381,5.4693,7.55E-03
5.4925,1.4631,5.4925,9.38E-03
5.5159,1.44822,5.5159,1.36E-02
5.5394,1.42542,5.5394,2.48E-02
5.5632,1.39559,5.5632,5.81E-02
5.5872,1.38641,5.5872,1.33E-01
5.6114,1.43886,5.6114,2.17E-01
5.6358,1.55253,5.6358,2.42E-01
5.6604,1.64984,5.6604,1.72E-01
5.6852,1.65671,5.6852,8.24E-02
5.7103,1.62001,5.7103,3.75E-02
5.7355,1.59361,5.7355,2.51E-02
5.761,1.57932,5.761,2.06E-02
5.7867,1.56988,5.7867,1.69E-02
5.8127,1.56284,5.8127,1.32E-02
5.8389,1.55668,5.8389,1.02E-02
5.8653,1.55202,5.8653,8.74E-03
5.8919,1.54654,5.8919,7.58E-03
5.9188,1.54116,5.9188,6.39E-03
5.946,1.53707,5.946,6.10E-03
5.9734,1.53352,5.9734,6.45E-03
6.0011,1.53036,6.0011,6.83E-03
6.029,1.52818,6.029,7.46E-03
6.0571,1.52586,6.0571,7.65E-03
6.0856,1.52306,6.0856,6.80E-03
6.1143,1.51992,6.1143,5.93E-03
6.1433,1.51597,6.1433,5.87E-03
6.1725,1.51122,6.1725,7.02E-03
6.202,1.50727,6.202,1.08E-02
6.2319,1.50741,6.2319,1.57E-02
6.262,1.51052,6.262,1.72E-02
6.2924,1.51217,6.2924,1.36E-02
6.3231,1.51002,6.3231,8.78E-03
6.3541,1.50453,6.3541,6.29E-03
6.3854,1.49869,6.3854,5.89E-03
6.417,1.4919,6.417,5.86E-03
6.4489,1.48518,6.4489,6.49E-03
6.4811,1.47732,6.4811,7.59E-03
6.5137,1.46401,6.5137,9.55E-03
6.5466,1.44623,6.5466,1.53E-02
6.5798,1.41632,6.5798,4.33E-02
6.6134,1.4219,6.6134,1.15E-01
6.6473,1.51409,6.6473,1.56E-01
6.6816,1.58018,6.6816,1.05E-01
6.7162,1.57075,6.7162,4.63E-02
6.7512,1.5462,6.7512,2.64E-02
6.7865,1.52982,6.7865,2.46E-02
6.8223,1.52278,6.8223,2.59E-02
6.8583,1.51919,6.8583,2.27E-02
6.8948,1.51335,6.8948,1.75E-02
6.9317,1.50743,6.9317,1.38E-02
6.969,1.49913,6.969,1.13E-02
7.0066,1.48836,7.0066,1.18E-02
7.0447,1.47863,7.0447,1.89E-02
7.0832,1.47886,7.0832,2.87E-02
7.1221,1.48381,7.1221,2.68E-02
7.1615,1.47865,7.1615,2.04E-02
7.2013,1.47134,7.2013,2.08E-02
7.2415,1.46607,7.2415,2.04E-02
7.2822,1.45713,7.2822,2.24E-02
7.3233,1.45653,7.3233,2.78E-02
7.3649,1.45802,7.3649,2.20E-02
7.407,1.4465,7.407,1.37E-02
7.4496,1.43058,7.4496,1.22E-02
7.4926,1.4156,7.4926,1.27E-02
7.5362,1.39864,7.5362,1.44E-02
7.5803,1.37808,7.5803,2.02E-02
7.6249,1.35734,7.6249,3.04E-02
7.67,1.33697,7.67,4.33E-02
7.7156,1.31919,7.7156,5.98E-02
7.7618,1.3038,7.7618,6.97E-02
7.8086,1.27126,7.8086,6.95E-02
7.8559,1.19662,7.8559,9.46E-02
7.9038,1.0914,7.9038,2.26E-01
7.9523,1.06932,7.9523,4.05E-01
8.0014,1.16184,8.0014,5.49E-01
8.0511,1.31297,8.0511,6.34E-01
8.1014,1.47786,8.1014,6.63E-01
8.1524,1.64921,8.1524,6.19E-01
8.204,1.75398,8.204,4.70E-01
8.2562,1.67884,8.2562,3.41E-01
8.3091,1.58296,8.3091,4.34E-01
8.3628,1.72185,8.3628,5.63E-01
8.4171,1.92563,8.4171,4.39E-01
8.4721,1.87624,8.4721,2.28E-01
8.5278,1.74904,8.5278,2.58E-01
8.5843,1.83275,8.5843,3.50E-01
8.6415,1.9617,8.6415,2.46E-01
8.6995,1.92257,8.6995,8.88E-02
8.7583,1.83773,8.7583,4.07E-02
8.8179,1.78867,8.8179,3.01E-02
8.8783,1.74977,8.8783,2.67E-02
8.9395,1.72051,8.9395,3.18E-02
9.0016,1.70337,9.0016,4.14E-02
9.0645,1.69749,9.0645,4.17E-02
9.1284,1.67962,9.1284,3.79E-02
9.1931,1.66594,9.1931,6.42E-02
9.2588,1.69423,9.2588,8.14E-02
9.3254,1.71231,9.3254,4.95E-02
9.393,1.68926,9.393,2.32E-02
9.4615,1.66696,9.4615,2.15E-02
9.5311,1.65217,9.5311,2.15E-02
9.6017,1.63781,9.6017,2.29E-02
9.6733,1.61362,9.6733,2.42E-02
9.7461,1.58011,9.7461,6.31E-02
9.8199,1.61262,9.8199,1.38E-01
9.8949,1.69795,9.8949,1.36E-01
9.971,1.7237,9.971,6.87E-02
10.048,1.70117,10.048,3.10E-02
10.127,1.68219,10.127,1.87E-02
10.207,1.66788,10.207,1.27E-02
10.288,1.65644,10.288,1.21E-02
10.37,1.64674,10.37,1.18E-02
10.453,1.63964,10.453,1.14E-02
10.538,1.63461,10.538,1.17E-02
10.625,1.63018,10.625,1.20E-02
10.713,1.62535,10.713,1.11E-02
10.802,1.6198,10.802,1.17E-02
10.893,1.61395,10.893,1.35E-02
10.985,1.60633,10.985,1.34E-02
11.079,1.59465,11.079,1.67E-02
11.174,1.59001,11.174,3.27E-02
11.272,1.6044,11.272,4.38E-02
11.37,1.616,11.37,3.27E-02
11.471,1.60593,11.471,1.82E-02
11.573,1.58526,11.573,1.70E-02
11.678,1.56501,11.678,3.20E-02
11.784,1.55381,11.784,6.02E-02
11.892,1.56202,11.892,9.56E-02
12.002,1.60072,12.002,1.22E-01
12.114,1.64754,12.114,1.12E-01
12.229,1.67053,12.229,8.06E-02
12.345,1.67386,12.345,5.13E-02
12.464,1.66246,12.464,2.66E-02
12.585,1.64019,12.585,1.78E-02
12.708,1.62133,12.708,2.25E-02
12.834,1.61301,12.834,3.70E-02
12.962,1.62315,12.962,5.23E-02
13.093,1.64084,13.093,5.12E-02
13.227,1.64859,13.227,3.78E-02
13.363,1.64508,13.363,2.59E-02
13.502,1.63761,13.502,2.07E-02
13.645,1.63163,13.645,2.02E-02
13.79,1.62795,13.79,1.98E-02
13.938,1.62315,13.938,2.07E-02
14.089,1.62323,14.089,2.24E-02
14.244,1.6294,14.244,1.92E-02
14.403,1.63049,14.403,1.40E-02
14.564,1.62568,14.564,9.66E-03
14.73,1.62136,14.73,6.40E-03
14.899,1.61894,14.899,7.14E-03
15.072,1.61434,15.072,1.01E-02
