Wavelength (um),Rel. global irradiance
0.965,5.04E+02
0.966,5.03E+02
0.967,5.02E+02
0.968,6.52E+02
0.969,6.86E+02
0.97,6.35E+02
0.971,7.14E+02
0.972,6.88E+02
0.973,6.06E+02
0.974,5.75E+02
0.975,5.90E+02
0.976,5.72E+02
0.977,6.39E+02
0.978,6.15E+02
0.979,6.38E+02
0.98,6.05E+02
0.981,7.13E+02
0.982,6.92E+02
0.983,6.69E+02
0.984,7.37E+02
0.985,6.88E+02
0.986,7.51E+02
0.987,7.39E+02
0.988,7.35E+02
0.989,7.49E+02
0.99,7.32E+02
0.991,7.54E+02
0.992,7.51E+02
0.993,7.37E+02
0.994,7.54E+02
0.995,7.52E+02
0.996,7.49E+02
0.997,7.40E+02
0.998,7.39E+02
0.999,7.39E+02
1,7.35E+02
1.001,7.44E+02
1.002,7.28E+02
1.003,7.34E+02
1.004,7.23E+02
1.005,6.82E+02
1.006,7.13E+02
1.007,7.28E+02
1.008,7.27E+02
1.009,7.20E+02
1.01,7.19E+02
1.011,7.23E+02
1.012,7.19E+02
1.013,7.18E+02
1.014,7.21E+02
1.015,7.08E+02
1.016,7.11E+02
1.017,7.03E+02
1.018,7.14E+02
1.019,6.89E+02
1.02,6.99E+02
1.021,7.02E+02
1.022,6.90E+02
1.023,6.95E+02
1.024,6.91E+02
1.025,6.98E+02
1.026,6.96E+02
1.027,6.93E+02
1.028,6.94E+02
1.029,6.86E+02
1.03,6.91E+02
1.031,6.87E+02
1.032,6.88E+02
1.033,6.76E+02
1.034,6.80E+02
1.035,6.82E+02
1.036,6.82E+02
1.037,6.75E+02
1.038,6.72E+02
1.039,6.76E+02
1.04,6.72E+02
1.041,6.72E+02
1.042,6.72E+02
1.043,6.65E+02
1.044,6.68E+02
1.045,6.65E+02
1.046,6.47E+02
1.047,6.57E+02
1.048,6.63E+02
1.049,6.59E+02
1.05,6.55E+02
1.051,6.55E+02
1.052,6.51E+02
1.053,6.49E+02
1.054,6.46E+02
1.055,6.48E+02
1.056,6.46E+02
1.057,6.45E+02
1.058,6.38E+02
1.059,6.19E+02
1.06,6.36E+02
1.061,6.21E+02
1.062,6.33E+02
1.063,6.22E+02
1.064,6.32E+02
1.065,6.29E+02
1.066,6.17E+02
1.067,6.20E+02
1.068,6.19E+02
1.069,5.86E+02
1.07,6.05E+02
1.071,6.17E+02
1.072,6.15E+02
1.073,6.04E+02
1.074,6.22E+02
1.075,5.93E+02
1.076,6.15E+02
1.077,6.04E+02
1.078,6.03E+02
1.079,6.05E+02
1.08,5.97E+02
1.081,5.81E+02
1.082,5.89E+02
1.083,5.98E+02
1.084,5.79E+02
1.085,5.93E+02
1.086,5.54E+02
1.087,5.67E+02
1.088,5.93E+02
1.089,5.79E+02
1.09,5.56E+02
1.091,5.88E+02
1.092,5.81E+02
1.093,5.11E+02
1.094,5.40E+02
1.095,5.21E+02
1.096,5.03E+02
1.097,5.79E+02
1.098,5.03E+02
1.099,5.08E+02
1.1,4.86E+02
1.101,4.97E+02
1.102,4.69E+02
1.103,4.66E+02
1.104,4.68E+02
1.105,5.06E+02
1.106,3.98E+02
1.107,4.83E+02
1.108,4.16E+02
1.109,4.13E+02
1.11,4.79E+02
1.111,3.32E+02
1.112,4.14E+02
1.113,2.69E+02
1.114,3.00E+02
1.115,2.50E+02
1.116,2.01E+02
1.117,7.96E+01
1.118,2.18E+02
1.119,1.13E+02
1.12,1.42E+02
1.121,1.86E+02
1.122,8.17E+01
1.123,1.28E+02
1.124,1.09E+02
1.125,1.44E+02
1.126,5.16E+01
1.127,1.57E+02
1.128,9.92E+01
1.129,1.06E+02
1.13,7.06E+01
1.131,2.96E+02
1.132,2.34E+02
1.133,1.53E+02
1.134,4.17E+01
1.135,1.55E+01
1.136,1.29E+02
1.137,2.88E+02
1.138,2.03E+02
1.139,2.99E+02
1.14,2.56E+02
1.141,1.93E+02
1.142,2.25E+02
1.143,3.12E+02
1.144,1.13E+02
1.145,1.46E+02
1.146,1.58E+02
1.147,5.92E+01
1.148,2.71E+02
1.149,2.19E+02
1.15,1.22E+02
1.151,2.03E+02
1.152,2.48E+02
1.153,2.38E+02
1.154,1.42E+02
1.155,3.13E+02
1.156,2.81E+02
1.157,3.15E+02
1.158,3.12E+02
1.159,3.37E+02
1.16,2.86E+02
1.161,3.48E+02
1.162,3.50E+02
1.163,4.69E+02
1.164,4.02E+02
1.165,3.89E+02
